sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,|W_i|,W_i . W_ref,GyroXnew,GyroYnew,GyroZnew,Vx,Vy,Vz,ux,uy,uz,ux-angle,uy-angle,uz-angle
1733,0.396728516,-0.334716797,-0.916015625,14.18603053,14.10900763,-0.289618321,20.00978354,206.1654075,14.18603053,14.10900763,-0.289618321,,,,,,,,,
1801,0.733886719,-0.665039063,0.156494141,14.06389313,14.23114504,0.290534351,20.0100722,206.3219905,14.06389313,14.23114504,0.290534351,,,,,,,,,
1841,0.461914063,-0.414306641,0.782958984,13.96465649,14.33038168,0.343969466,20.01224088,206.3692634,13.96465649,14.33038168,0.343969466,,,,,,,,,
1762,0.689453125,-0.603027344,-0.526367188,14.10206107,14.20061069,0.069160305,20.01325195,206.3224561,14.10206107,14.20061069,0.069160305,,,,,,,,,
1211,0.599609375,-0.500488281,-0.659179688,-13.86740458,-14.42534351,-0.381221374,20.01351481,-206.3955802,13.86740458,14.42534351,0.381221374,,,,,,,,,
1265,-0.030761719,0.096435547,-1.047607422,-13.83687023,-14.45587786,-0.640763359,20.02103794,-206.4566302,13.83687023,14.45587786,0.640763359,,,,,,,,,
1877,0.025390625,0.026855469,0.990478516,13.94175573,14.36854962,0.359236641,20.02390626,206.4948627,13.94175573,14.36854962,0.359236641,,,,,,,,,
1396,-0.341796875,0.380615234,0.806396484,-13.92083969,-14.39480916,-0.281984733,20.0269774,-206.5278388,13.92083969,14.39480916,0.281984733,,,,,,,,,
1613,-0.667724609,0.703125,0.126464844,14.34633588,13.97923664,-0.220916031,20.03210458,206.3469558,14.34633588,13.97923664,-0.220916031,,,,,,,,,
1763,0.686523438,-0.605957031,-0.499023438,14.09442748,14.24641221,0.114961832,20.04061783,206.6193892,14.09442748,14.24641221,0.114961832,,,,,,,,,
1262,0.006835938,0.066162109,-1.038085938,-13.82160305,-14.50167939,-0.594961832,20.04219039,-206.6818257,13.82160305,14.50167939,0.594961832,,,,,,,,,
1165,0.747314453,-0.699462891,0.118896484,-13.9819084,-14.35664122,-0.488091603,20.0460755,-206.7156588,13.9819084,14.35664122,0.488091603,,,,,,,,,
1867,0.154052734,-0.102783203,0.969238281,14.0180916,14.33038168,0.130229008,20.04703696,206.7078748,14.0180916,14.33038168,0.130229008,,,,,,,,,
1205,0.63671875,-0.5703125,-0.595703125,-14.0429771,-14.30320611,-0.381221374,20.04824782,-206.7294785,14.0429771,14.30320611,0.381221374,,,,,,,,,
1355,-0.644775391,0.695556641,0.217529297,-13.91320611,-14.42534351,-0.526259542,20.04856076,-206.7486109,13.91320611,14.42534351,0.526259542,,,,,,,,,
1256,0.084228516,-0.007324219,-1.045654297,-13.87503817,-14.44824427,-0.869770992,20.0505598,-206.7144456,13.87503817,14.44824427,0.869770992,,,,,,,,,
1879,-0.007324219,0.063232422,0.966552734,14.17076336,14.18534351,0.275267176,20.05268752,206.7356832,14.17076336,14.18534351,0.275267176,,,,,,,,,
1754,0.608154297,-0.541015625,-0.657470703,14.16312977,14.20061069,0.252366412,20.05779842,206.7912166,14.16312977,14.20061069,0.252366412,,,,,,,,,
1204,0.628662109,-0.614746094,-0.611083984,-14.0429771,-14.31083969,-0.724732824,20.06316466,-206.8522558,14.0429771,14.31083969,0.724732824,,,,,,,,,
1317,-0.581542969,0.649169922,-0.502197266,-13.85977099,-14.50167939,-0.53389313,20.06681337,-206.9412144,13.85977099,14.50167939,0.53389313,,,,,,,,,
1109,0.334228516,-0.204589844,0.834960938,-14.08877863,-14.25740458,-0.969007634,20.06754206,-206.8248203,14.08877863,14.25740458,0.969007634,,,,,,,,,
1813,0.695068359,-0.620361328,0.354003906,13.82725191,14.54412214,0.038625954,20.0680312,206.9327958,13.82725191,14.54412214,0.038625954,,,,,,,,,
1882,-0.046386719,0.104736328,0.966064453,14.02572519,14.35328244,0.32870229,20.07101714,206.9712493,14.02572519,14.35328244,0.32870229,,,,,,,,,
