sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
84,-0.28369140625,0.329345703125,0.87841796875,-1.8778625954198473,0.25190839694656486,0.20610687022900764
85,-0.28125,0.32763671875,0.8720703125,-1.5114503816793894,0.26717557251908397,0.1984732824427481
86,-0.282958984375,0.326416015625,0.877197265625,-1.9465648854961832,0.11450381679389313,0.4580152671755725
87,-0.286376953125,0.33056640625,0.877197265625,-1.5572519083969465,0.183206106870229,0.1450381679389313
88,-0.2861328125,0.329345703125,0.869873046875,-1.786259541984733,0.33587786259541985,0.007633587786259542
89,-0.282470703125,0.328369140625,0.871337890625,-1.5725190839694656,0.13740458015267176,0.366412213740458
90,-0.2841796875,0.329833984375,0.871337890625,-1.8625954198473282,0.5267175572519084,0.21374045801526717
91,-0.284912109375,0.32666015625,0.8720703125,-1.8549618320610688,-0.007633587786259542,0.3816793893129771
92,-0.28125,0.324951171875,0.869873046875,-1.7633587786259541,0.16030534351145037,0.26717557251908397
93,-0.28271484375,0.327392578125,0.874267578125,-1.8091603053435115,0.37404580152671757,0.19083969465648856
94,-0.28515625,0.326904296875,0.871337890625,-1.9618320610687023,0.25190839694656486,0.1297709923664122
95,-0.285400390625,0.327880859375,0.872314453125,-1.8778625954198473,0.2900763358778626,0.24427480916030533
96,-0.28564453125,0.3251953125,0.880615234375,-1.8396946564885497,0.7022900763358778,0.22137404580152673
97,-0.28515625,0.327392578125,0.8720703125,-1.8778625954198473,0.25190839694656486,0.21374045801526717
98,-0.28076171875,0.330322265625,0.868408203125,-1.9312977099236641,0.06870229007633588,0.015267175572519083
99,-0.281494140625,0.326416015625,0.87353515625,-1.6106870229007633,0.08396946564885496,0.3511450381679389
100,-0.281982421875,0.330810546875,0.874267578125,-1.8091603053435115,0.13740458015267176,0.13740458015267176
101,-0.28125,0.32568359375,0.872802734375,-1.9083969465648856,0.1450381679389313,0.20610687022900764
102,-0.28369140625,0.3291015625,0.8759765625,-1.6870229007633588,0.09923664122137404,0.16030534351145037
103,-0.283203125,0.3271484375,0.870849609375,-1.5267175572519085,0.5190839694656488,0.25190839694656486
104,-0.281494140625,0.327392578125,0.87451171875,-1.8854961832061068,0.22137404580152673,0.1297709923664122
105,-0.27783203125,0.328125,0.87109375,-1.8015267175572518,0.24427480916030533,0.45038167938931295
106,-0.281982421875,0.329345703125,0.874755859375,-2.2748091603053435,0.17557251908396945,0.22137404580152673
107,-0.28173828125,0.327880859375,0.869873046875,-1.7633587786259541,0.40458015267175573,0.06870229007633588
108,-0.280517578125,0.33203125,0.871826171875,-1.7404580152671756,0.32061068702290074,0.2748091603053435
109,-0.280517578125,0.328369140625,0.8701171875,-1.717557251908397,0.04580152671755725,0.4122137404580153
110,-0.286376953125,0.32763671875,0.86865234375,-1.7633587786259541,0.6183206106870229,0.13740458015267176
111,-0.279052734375,0.33154296875,0.87890625,-1.8854961832061068,0.1984732824427481,0.1984732824427481
112,-0.28173828125,0.327880859375,0.8779296875,-1.9541984732824427,0.33587786259541985,0.11450381679389313
113,-0.2841796875,0.32470703125,0.875244140625,-1.8473282442748091,0.20610687022900764,0.3435114503816794
114,-0.28564453125,0.330322265625,0.866943359375,-1.9541984732824427,0.07633587786259542,0.3969465648854962
115,-0.281982421875,0.326416015625,0.8779296875,-1.984732824427481,0.2824427480916031,0.2900763358778626
116,-0.281982421875,0.3330078125,0.874267578125,-1.6106870229007633,0.3053435114503817,-0.015267175572519083
117,-0.280029296875,0.32958984375,0.87451171875,-1.8473282442748091,-0.05343511450381679,0.22137404580152673
118,-0.284423828125,0.326416015625,0.87255859375,-1.7786259541984732,0.4580152671755725,0.33587786259541985
119,-0.2822265625,0.32763671875,0.87109375,-1.7938931297709924,-0.007633587786259542,0.31297709923664124
120,-0.28125,0.3251953125,0.8720703125,-2.0229007633587788,0.5343511450381679,0.37404580152671757
121,-0.283203125,0.329345703125,0.875732421875,-1.8015267175572518,0.24427480916030533,0.25190839694656486
122,-0.28466796875,0.326416015625,0.8720703125,-1.702290076335878,0.20610687022900764,0.16793893129770993
123,-0.283203125,0.327880859375,0.87060546875,-1.7633587786259541,0.6412213740458015,0.25190839694656486
124,-0.281005859375,0.328125,0.871826171875,-1.6641221374045803,0.11450381679389313,0.24427480916030533
125,-0.282958984375,0.327392578125,0.875732421875,-1.6259541984732824,0.3893129770992366,0.5877862595419847
126,-0.277099609375,0.3251953125,0.875732421875,-1.8702290076335877,0.10687022900763359,0.32061068702290074
127,-0.283203125,0.328369140625,0.873779296875,-1.6564885496183206,0.5572519083969466,0.022900763358778626
128,-0.282958984375,0.3310546875,0.867919921875,-1.9312977099236641,0.17557251908396945,0.2366412213740458
129,-0.2841796875,0.326416015625,0.865966796875,-1.7404580152671756,0.33587786259541985,0.12213740458015267
130,-0.279296875,0.3291015625,0.878173828125,-1.8244274809160306,0.1450381679389313,0.2824427480916031
131,-0.2841796875,0.3251953125,0.865478515625,-1.816793893129771,0.4122137404580153,0.3511450381679389
132,-0.282958984375,0.326171875,0.8740234375,-1.6793893129770991,-0.15267175572519084,0.366412213740458
133,-0.27734375,0.329833984375,0.87109375,-1.984732824427481,0.19083969465648856,0.13740458015267176
134,-0.282470703125,0.32958984375,0.8701171875,-1.8091603053435115,0.3053435114503817,0.4351145038167939
135,-0.2822265625,0.326904296875,0.87451171875,-1.83206106870229,0.12213740458015267,0.3511450381679389
136,-0.281982421875,0.326904296875,0.8701171875,-1.8931297709923665,0.2595419847328244,0.2824427480916031
137,-0.286865234375,0.329345703125,0.869140625,-1.984732824427481,0.16793893129770993,0.0
138,-0.281494140625,0.328369140625,0.876220703125,-1.8396946564885497,0.35877862595419846,0.3893129770992366
139,-0.28369140625,0.3291015625,0.870361328125,-1.8396946564885497,0.3893129770992366,0.22900763358778625
140,-0.283447265625,0.327392578125,0.87255859375,-1.8396946564885497,0.183206106870229,0.3969465648854962
